Player,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Venue,Start Date,Year
YBK Jaiswal,Rajasthan Royals,Gujarat Titans,22,0,22,16,1,2,137.5,1,Ahmedabad,29-May-22,2022
JC Buttler,Rajasthan Royals,Gujarat Titans,39,0,64,35,5,0,111.42,1,Ahmedabad,29-May-22,2022
SV Samson,Rajasthan Royals,Gujarat Titans,14,0,21,11,2,0,127.27,1,Ahmedabad,29-May-22,2022
D Padikkal,Rajasthan Royals,Gujarat Titans,2,0,20,10,0,0,20,1,Ahmedabad,29-May-22,2022
SO Hetmyer,Rajasthan Royals,Gujarat Titans,11,0,20,12,2,0,91.66,1,Ahmedabad,29-May-22,2022
R Ashwin,Rajasthan Royals,Gujarat Titans,6,0,22,9,0,0,66.66,1,Ahmedabad,29-May-22,2022
R Parag,Rajasthan Royals,Gujarat Titans,15,0,29,15,1,0,100,1,Ahmedabad,29-May-22,2022
TA Boult,Rajasthan Royals,Gujarat Titans,11,0,10,7,0,1,157.14,1,Ahmedabad,29-May-22,2022
OC McCoy,Rajasthan Royals,Gujarat Titans,8,0,12,5,0,1,160,1,Ahmedabad,29-May-22,2022
M Prasidh Krishna,Rajasthan Royals,Gujarat Titans,0,1,2,0,0,0,0,1,Ahmedabad,29-May-22,2022
YS Chahal,Rajasthan Royals,Gujarat Titans,0,0,0,0,0,0,0,1,Ahmedabad,29-May-22,2022
WP Saha,Gujarat Titans,Rajasthan Royals,5,0,8,7,1,0,71.42,2,Ahmedabad,29-May-22,2022
Shubman Gill,Gujarat Titans,Rajasthan Royals,45,1,86,43,3,1,104.65,2,Ahmedabad,29-May-22,2022
MS Wade,Gujarat Titans,Rajasthan Royals,8,0,16,10,0,1,80,2,Ahmedabad,29-May-22,2022
HH Pandya,Gujarat Titans,Rajasthan Royals,34,0,42,30,3,1,113.33,2,Ahmedabad,29-May-22,2022
DA Miller,Gujarat Titans,Rajasthan Royals,32,1,23,19,3,1,168.42,2,Ahmedabad,29-May-22,2022
R Tewatia,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
R Sai Kishore,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
Rashid Khan,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
Yash Dayal,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
LH Ferguson,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
Mohammed Shami,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
V Kohli,Royal Challengers Bangalore,Rajasthan Royals,7,0,11,8,0,1,87.5,1,Ahmedabad,27-May-22,2022
F du Plessis,Royal Challengers Bangalore,Rajasthan Royals,25,0,50,27,3,0,92.59,1,Ahmedabad,27-May-22,2022
RM Patidar,Royal Challengers Bangalore,Rajasthan Royals,58,0,65,42,4,3,138.09,1,Ahmedabad,27-May-22,2022
GJ Maxwell,Royal Challengers Bangalore,Rajasthan Royals,24,0,18,13,1,2,184.61,1,Ahmedabad,27-May-22,2022
MK Lomror,Royal Challengers Bangalore,Rajasthan Royals,8,0,21,10,0,0,80,1,Ahmedabad,27-May-22,2022
KD Karthik,Royal Challengers Bangalore,Rajasthan Royals,6,0,17,7,0,0,85.71,1,Ahmedabad,27-May-22,2022
Shahbaz Ahmed,Royal Challengers Bangalore,Rajasthan Royals,12,1,16,8,1,1,150,1,Ahmedabad,27-May-22,2022
PWH de Silva,Royal Challengers Bangalore,Rajasthan Royals,0,0,2,1,0,0,0,1,Ahmedabad,27-May-22,2022
HV Patel,Royal Challengers Bangalore,Rajasthan Royals,1,0,7,2,0,0,50,1,Ahmedabad,27-May-22,2022
JR Hazlewood,Royal Challengers Bangalore,Rajasthan Royals,1,1,4,2,0,0,50,1,Ahmedabad,27-May-22,2022
Mohammed Siraj,Royal Challengers Bangalore,Rajasthan Royals,0,0,0,0,0,0,0,1,Ahmedabad,27-May-22,2022
YBK Jaiswal,Rajasthan Royals,Royal Challengers Bangalore,21,0,25,13,1,2,161.53,2,Ahmedabad,27-May-22,2022
JC Buttler,Rajasthan Royals,Royal Challengers Bangalore,106,1,86,60,10,6,176.66,2,Ahmedabad,27-May-22,2022
SV Samson,Rajasthan Royals,Royal Challengers Bangalore,23,0,29,21,1,2,109.52,2,Ahmedabad,27-May-22,2022
D Padikkal,Rajasthan Royals,Royal Challengers Bangalore,9,0,26,12,0,0,75,2,Ahmedabad,27-May-22,2022
SO Hetmyer,Rajasthan Royals,Royal Challengers Bangalore,2,1,8,3,0,0,66.66,2,Ahmedabad,27-May-22,2022
TA Boult,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
R Ashwin,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
M Prasidh Krishna,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
YS Chahal,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
R Parag,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
OC McCoy,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
V Kohli,Royal Challengers Bangalore,Lucknow Super Giants,25,0,41,24,2,0,104.16,1,Kolkata,25-May-22,2022
F du Plessis,Royal Challengers Bangalore,Lucknow Super Giants,0,0,6,1,0,0,0,1,Kolkata,25-May-22,2022
RM Patidar,Royal Challengers Bangalore,Lucknow Super Giants,112,1,100,54,12,7,207.4,1,Kolkata,25-May-22,2022
GJ Maxwell,Royal Challengers Bangalore,Lucknow Super Giants,9,0,10,10,0,1,90,1,Kolkata,25-May-22,2022
MK Lomror,Royal Challengers Bangalore,Lucknow Super Giants,14,0,16,9,2,0,155.55,1,Kolkata,25-May-22,2022
KD Karthik,Royal Challengers Bangalore,Lucknow Super Giants,37,1,41,23,5,1,160.86,1,Kolkata,25-May-22,2022
Mohammed Siraj,Royal Challengers Bangalore,Lucknow Super Giants,0,0,0,0,0,0,0,1,Kolkata,25-May-22,2022
PWH de Silva,Royal Challengers Bangalore,Lucknow Super Giants,0,0,0,0,0,0,0,1,Kolkata,25-May-22,2022
HV Patel,Royal Challengers Bangalore,Lucknow Super Giants,0,0,0,0,0,0,0,1,Kolkata,25-May-22,2022
Shahbaz Ahmed,Royal Challengers Bangalore,Lucknow Super Giants,0,0,0,0,0,0,0,1,Kolkata,25-May-22,2022
JR Hazlewood,Royal Challengers Bangalore,Lucknow Super Giants,0,0,0,0,0,0,0,1,Kolkata,25-May-22,2022
Q de Kock,Lucknow Super Giants,Royal Challengers Bangalore,6,0,6,5,0,1,120,2,Kolkata,25-May-22,2022
KL Rahul,Lucknow Super Giants,Royal Challengers Bangalore,79,0,108,58,3,5,136.2,2,Kolkata,25-May-22,2022
M Vohra,Lucknow Super Giants,Royal Challengers Bangalore,19,0,21,11,1,2,172.72,2,Kolkata,25-May-22,2022
DJ Hooda,Lucknow Super Giants,Royal Challengers Bangalore,45,0,54,26,1,4,173.07,2,Kolkata,25-May-22,2022
MP Stoinis,Lucknow Super Giants,Royal Challengers Bangalore,9,0,20,9,0,1,100,2,Kolkata,25-May-22,2022
E Lewis,Lucknow Super Giants,Royal Challengers Bangalore,2,1,20,6,0,0,33.33,2,Kolkata,25-May-22,2022
KH Pandya,Lucknow Super Giants,Royal Challengers Bangalore,0,0,2,1,0,0,0,2,Kolkata,25-May-22,2022
PVD Chameera,Lucknow Super Giants,Royal Challengers Bangalore,11,1,9,4,1,1,275,2,Kolkata,25-May-22,2022
Avesh Khan,Lucknow Super Giants,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,25-May-22,2022
Mohsin Khan,Lucknow Super Giants,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,25-May-22,2022
Ravi Bishnoi,Lucknow Super Giants,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,25-May-22,2022
YBK Jaiswal,Rajasthan Royals,Gujarat Titans,3,0,11,8,0,0,37.5,1,Kolkata,24-May-22,2022
JC Buttler,Rajasthan Royals,Gujarat Titans,89,0,109,56,12,2,158.92,1,Kolkata,24-May-22,2022
SV Samson,Rajasthan Royals,Gujarat Titans,47,0,40,26,5,3,180.76,1,Kolkata,24-May-22,2022
D Padikkal,Rajasthan Royals,Gujarat Titans,28,0,23,20,2,2,140,1,Kolkata,24-May-22,2022
SO Hetmyer,Rajasthan Royals,Gujarat Titans,4,0,25,7,0,0,57.14,1,Kolkata,24-May-22,2022
R Parag,Rajasthan Royals,Gujarat Titans,4,0,9,3,0,0,133.33,1,Kolkata,24-May-22,2022
R Ashwin,Rajasthan Royals,Gujarat Titans,2,1,4,1,0,0,200,1,Kolkata,24-May-22,2022
TA Boult,Rajasthan Royals,Gujarat Titans,0,1,1,0,0,0,0,1,Kolkata,24-May-22,2022
YS Chahal,Rajasthan Royals,Gujarat Titans,0,0,0,0,0,0,0,1,Kolkata,24-May-22,2022
M Prasidh Krishna,Rajasthan Royals,Gujarat Titans,0,0,0,0,0,0,0,1,Kolkata,24-May-22,2022
OC McCoy,Rajasthan Royals,Gujarat Titans,0,0,0,0,0,0,0,1,Kolkata,24-May-22,2022
WP Saha,Gujarat Titans,Rajasthan Royals,0,0,3,2,0,0,0,2,Kolkata,24-May-22,2022
Shubman Gill,Gujarat Titans,Rajasthan Royals,35,0,42,21,5,1,166.66,2,Kolkata,24-May-22,2022
MS Wade,Gujarat Titans,Rajasthan Royals,35,0,49,30,6,0,116.66,2,Kolkata,24-May-22,2022
HH Pandya,Gujarat Titans,Rajasthan Royals,40,1,66,27,5,0,148.14,2,Kolkata,24-May-22,2022
DA Miller,Gujarat Titans,Rajasthan Royals,68,1,56,38,3,5,178.94,2,Kolkata,24-May-22,2022
R Sai Kishore,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Kolkata,24-May-22,2022
Rashid Khan,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Kolkata,24-May-22,2022
Yash Dayal,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Kolkata,24-May-22,2022
AS Joseph,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Kolkata,24-May-22,2022
Mohammed Shami,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Kolkata,24-May-22,2022
R Tewatia,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Kolkata,24-May-22,2022
PK Garg,Sunrisers Hyderabad,Punjab Kings,4,0,13,7,0,0,57.14,1,Wankhede,22-May-22,2022
Abhishek Sharma,Sunrisers Hyderabad,Punjab Kings,43,0,47,32,5,2,134.37,1,Wankhede,22-May-22,2022
RA Tripathi,Sunrisers Hyderabad,Punjab Kings,20,0,28,18,1,1,111.11,1,Wankhede,22-May-22,2022
AK Markram,Sunrisers Hyderabad,Punjab Kings,21,0,29,17,2,0,123.52,1,Wankhede,22-May-22,2022
N Pooran,Sunrisers Hyderabad,Punjab Kings,5,0,12,10,0,0,50,1,Wankhede,22-May-22,2022
Washington Sundar,Sunrisers Hyderabad,Punjab Kings,25,0,37,19,3,1,131.57,1,Wankhede,22-May-22,2022
R Shepherd,Sunrisers Hyderabad,Punjab Kings,26,1,34,15,2,2,173.33,1,Wankhede,22-May-22,2022
J Suchith,Sunrisers Hyderabad,Punjab Kings,0,0,2,1,0,0,0,1,Wankhede,22-May-22,2022
B Kumar,Sunrisers Hyderabad,Punjab Kings,1,0,4,1,0,0,100,1,Wankhede,22-May-22,2022
Umran Malik,Sunrisers Hyderabad,Punjab Kings,0,1,3,1,0,0,0,1,Wankhede,22-May-22,2022
Fazalhaq Farooqi,Sunrisers Hyderabad,Punjab Kings,0,0,0,0,0,0,0,1,Wankhede,22-May-22,2022
JM Bairstow,Punjab Kings,Sunrisers Hyderabad,23,0,17,15,5,0,153.33,2,Wankhede,22-May-22,2022
S Dhawan,Punjab Kings,Sunrisers Hyderabad,39,0,69,32,2,2,121.87,2,Wankhede,22-May-22,2022
M Shahrukh Khan,Punjab Kings,Sunrisers Hyderabad,19,0,19,10,2,1,190,2,Wankhede,22-May-22,2022
MA Agarwal,Punjab Kings,Sunrisers Hyderabad,1,0,11,4,0,0,25,2,Wankhede,22-May-22,2022
LS Livingstone,Punjab Kings,Sunrisers Hyderabad,49,1,40,22,2,5,222.72,2,Wankhede,22-May-22,2022
JM Sharma,Punjab Kings,Sunrisers Hyderabad,19,0,9,7,3,1,271.42,2,Wankhede,22-May-22,2022
PN Mankad,Punjab Kings,Sunrisers Hyderabad,4,1,8,1,1,0,400,2,Wankhede,22-May-22,2022
NT Ellis,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Wankhede,22-May-22,2022
Arshdeep Singh,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Wankhede,22-May-22,2022
K Rabada,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Wankhede,22-May-22,2022
Harpreet Brar,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Wankhede,22-May-22,2022
PP Shaw,Delhi Capitals,Mumbai Indians,24,0,29,23,2,1,104.34,1,Wankhede,21-May-22,2022
DA Warner,Delhi Capitals,Mumbai Indians,5,0,15,6,1,0,83.33,1,Wankhede,21-May-22,2022
MR Marsh,Delhi Capitals,Mumbai Indians,0,0,2,1,0,0,0,1,Wankhede,21-May-22,2022
RR Pant,Delhi Capitals,Mumbai Indians,39,0,68,33,4,1,118.18,1,Wankhede,21-May-22,2022
SN Khan,Delhi Capitals,Mumbai Indians,10,0,14,7,0,1,142.85,1,Wankhede,21-May-22,2022
R Powell,Delhi Capitals,Mumbai Indians,43,0,55,34,1,4,126.47,1,Wankhede,21-May-22,2022
AR Patel,Delhi Capitals,Mumbai Indians,19,1,25,10,0,2,190,1,Wankhede,21-May-22,2022
SN Thakur,Delhi Capitals,Mumbai Indians,4,0,9,5,0,0,80,1,Wankhede,21-May-22,2022
Kuldeep Yadav,Delhi Capitals,Mumbai Indians,1,1,5,1,0,0,100,1,Wankhede,21-May-22,2022
A Nortje,Delhi Capitals,Mumbai Indians,0,0,0,0,0,0,0,1,Wankhede,21-May-22,2022
KK Ahmed,Delhi Capitals,Mumbai Indians,0,0,0,0,0,0,0,1,Wankhede,21-May-22,2022
Ishan Kishan,Mumbai Indians,Delhi Capitals,48,0,56,35,3,4,137.14,2,Wankhede,21-May-22,2022
RG Sharma,Mumbai Indians,Delhi Capitals,2,0,28,13,0,0,15.38,2,Wankhede,21-May-22,2022
D Brevis,Mumbai Indians,Delhi Capitals,37,0,43,33,1,3,112.12,2,Wankhede,21-May-22,2022
NT Tilak Varma,Mumbai Indians,Delhi Capitals,21,0,46,17,1,1,123.52,2,Wankhede,21-May-22,2022
TH David,Mumbai Indians,Delhi Capitals,34,0,22,11,2,4,309.09,2,Wankhede,21-May-22,2022
Ramandeep Singh,Mumbai Indians,Delhi Capitals,13,1,13,6,2,0,216.66,2,Wankhede,21-May-22,2022
DR Sams,Mumbai Indians,Delhi Capitals,0,1,4,1,0,0,0,2,Wankhede,21-May-22,2022
JJ Bumrah,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,2,Wankhede,21-May-22,2022
RP Meredith,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,2,Wankhede,21-May-22,2022
M Markande,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,2,Wankhede,21-May-22,2022
HR Shokeen,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,2,Wankhede,21-May-22,2022
RD Gaikwad,Chennai Super Kings,Rajasthan Royals,2,0,6,6,0,0,33.33,1,Brabourne,20-May-22,2022
DP Conway,Chennai Super Kings,Rajasthan Royals,16,0,39,14,1,1,114.28,1,Brabourne,20-May-22,2022
MM Ali,Chennai Super Kings,Rajasthan Royals,93,0,95,57,13,3,163.15,1,Brabourne,20-May-22,2022
N Jagadeesan,Chennai Super Kings,Rajasthan Royals,1,0,8,4,0,0,25,1,Brabourne,20-May-22,2022
AT Rayudu,Chennai Super Kings,Rajasthan Royals,3,0,9,6,0,0,50,1,Brabourne,20-May-22,2022
MS Dhoni,Chennai Super Kings,Rajasthan Royals,26,0,44,28,1,1,92.85,1,Brabourne,20-May-22,2022
MJ Santner,Chennai Super Kings,Rajasthan Royals,1,1,6,2,0,0,50,1,Brabourne,20-May-22,2022
Simarjeet Singh,Chennai Super Kings,Rajasthan Royals,3,1,4,3,0,0,100,1,Brabourne,20-May-22,2022
PH Solanki,Chennai Super Kings,Rajasthan Royals,0,0,0,0,0,0,0,1,Brabourne,20-May-22,2022
M Pathirana,Chennai Super Kings,Rajasthan Royals,0,0,0,0,0,0,0,1,Brabourne,20-May-22,2022
Mukesh Choudhary,Chennai Super Kings,Rajasthan Royals,0,0,0,0,0,0,0,1,Brabourne,20-May-22,2022
YBK Jaiswal,Rajasthan Royals,Chennai Super Kings,59,0,66,44,8,1,134.09,2,Brabourne,20-May-22,2022
JC Buttler,Rajasthan Royals,Chennai Super Kings,2,0,10,5,0,0,40,2,Brabourne,20-May-22,2022
SV Samson,Rajasthan Royals,Chennai Super Kings,15,0,33,20,2,0,75,2,Brabourne,20-May-22,2022
D Padikkal,Rajasthan Royals,Chennai Super Kings,3,0,12,9,0,0,33.33,2,Brabourne,20-May-22,2022
R Ashwin,Rajasthan Royals,Chennai Super Kings,40,1,42,23,2,3,173.91,2,Brabourne,20-May-22,2022
SO Hetmyer,Rajasthan Royals,Chennai Super Kings,6,0,7,7,1,0,85.71,2,Brabourne,20-May-22,2022
R Parag,Rajasthan Royals,Chennai Super Kings,10,1,21,10,1,0,100,2,Brabourne,20-May-22,2022
TA Boult,Rajasthan Royals,Chennai Super Kings,0,0,0,0,0,0,0,2,Brabourne,20-May-22,2022
M Prasidh Krishna,Rajasthan Royals,Chennai Super Kings,0,0,0,0,0,0,0,2,Brabourne,20-May-22,2022
OC McCoy,Rajasthan Royals,Chennai Super Kings,0,0,0,0,0,0,0,2,Brabourne,20-May-22,2022
YS Chahal,Rajasthan Royals,Chennai Super Kings,0,0,0,0,0,0,0,2,Brabourne,20-May-22,2022
WP Saha,Gujarat Titans,Royal Challengers Bangalore,31,0,43,22,4,1,140.9,1,Wankhede,19-May-22,2022
Shubman Gill,Gujarat Titans,Royal Challengers Bangalore,1,0,13,4,0,0,25,1,Wankhede,19-May-22,2022
MS Wade,Gujarat Titans,Royal Challengers Bangalore,16,0,14,13,2,1,123.07,1,Wankhede,19-May-22,2022
HH Pandya,Gujarat Titans,Royal Challengers Bangalore,62,1,80,47,4,3,131.91,1,Wankhede,19-May-22,2022
DA Miller,Gujarat Titans,Royal Challengers Bangalore,34,0,43,25,0,3,136,1,Wankhede,19-May-22,2022
R Tewatia,Gujarat Titans,Royal Challengers Bangalore,2,0,7,3,0,0,66.66,1,Wankhede,19-May-22,2022
Rashid Khan,Gujarat Titans,Royal Challengers Bangalore,19,1,15,6,1,2,316.66,1,Wankhede,19-May-22,2022
Mohammed Shami,Gujarat Titans,Royal Challengers Bangalore,0,0,0,0,0,0,0,1,Wankhede,19-May-22,2022
Yash Dayal,Gujarat Titans,Royal Challengers Bangalore,0,0,0,0,0,0,0,1,Wankhede,19-May-22,2022
R Sai Kishore,Gujarat Titans,Royal Challengers Bangalore,0,0,0,0,0,0,0,1,Wankhede,19-May-22,2022
LH Ferguson,Gujarat Titans,Royal Challengers Bangalore,0,0,0,0,0,0,0,1,Wankhede,19-May-22,2022
V Kohli,Royal Challengers Bangalore,Gujarat Titans,73,0,81,54,8,2,135.18,2,Wankhede,19-May-22,2022
F du Plessis,Royal Challengers Bangalore,Gujarat Titans,44,0,70,38,5,0,115.78,2,Wankhede,19-May-22,2022
GJ Maxwell,Royal Challengers Bangalore,Gujarat Titans,40,1,22,18,5,2,222.22,2,Wankhede,19-May-22,2022
KD Karthik,Royal Challengers Bangalore,Gujarat Titans,2,1,11,2,0,0,100,2,Wankhede,19-May-22,2022
S Kaul,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
RM Patidar,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
JR Hazlewood,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
Shahbaz Ahmed,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
HV Patel,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
MK Lomror,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
PWH de Silva,Royal Challengers Bangalore,Gujarat Titans,0,0,0,0,0,0,0,2,Wankhede,19-May-22,2022
Q de Kock,Lucknow Super Giants,Kolkata Knight Riders,140,1,97,70,10,10,200,1,DY Patil,18-May-22,2022
KL Rahul,Lucknow Super Giants,Kolkata Knight Riders,68,1,97,51,3,4,133.33,1,DY Patil,18-May-22,2022
K Gowtham,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
DJ Hooda,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
Ravi Bishnoi,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
E Lewis,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
JO Holder,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
Avesh Khan,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
MP Stoinis,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
M Vohra,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
Mohsin Khan,Lucknow Super Giants,Kolkata Knight Riders,0,0,0,0,0,0,0,1,DY Patil,18-May-22,2022
VR Iyer,Kolkata Knight Riders,Lucknow Super Giants,0,0,5,4,0,0,0,2,DY Patil,18-May-22,2022
A Tomar,Kolkata Knight Riders,Lucknow Super Giants,4,0,15,8,1,0,50,2,DY Patil,18-May-22,2022
N Rana,Kolkata Knight Riders,Lucknow Super Giants,42,0,35,22,9,0,190.9,2,DY Patil,18-May-22,2022
SS Iyer,Kolkata Knight Riders,Lucknow Super Giants,50,0,57,29,4,3,172.41,2,DY Patil,18-May-22,2022
SW Billings,Kolkata Knight Riders,Lucknow Super Giants,36,0,44,24,2,3,150,2,DY Patil,18-May-22,2022
AD Russell,Kolkata Knight Riders,Lucknow Super Giants,5,0,18,11,0,0,45.45,2,DY Patil,18-May-22,2022
RK Singh,Kolkata Knight Riders,Lucknow Super Giants,40,0,28,15,2,4,266.66,2,DY Patil,18-May-22,2022
SP Narine,Kolkata Knight Riders,Lucknow Super Giants,21,1,24,7,0,3,300,2,DY Patil,18-May-22,2022
UT Yadav,Kolkata Knight Riders,Lucknow Super Giants,0,0,3,1,0,0,0,2,DY Patil,18-May-22,2022
TG Southee,Kolkata Knight Riders,Lucknow Super Giants,0,0,0,0,0,0,0,2,DY Patil,18-May-22,2022
CV Varun,Kolkata Knight Riders,Lucknow Super Giants,0,0,0,0,0,0,0,2,DY Patil,18-May-22,2022
Abhishek Sharma,Sunrisers Hyderabad,Mumbai Indians,9,0,13,10,1,0,90,1,Wankhede,17-May-22,2022
PK Garg,Sunrisers Hyderabad,Mumbai Indians,42,0,48,26,4,2,161.53,1,Wankhede,17-May-22,2022
RA Tripathi,Sunrisers Hyderabad,Mumbai Indians,76,0,81,44,9,3,172.72,1,Wankhede,17-May-22,2022
N Pooran,Sunrisers Hyderabad,Mumbai Indians,38,0,40,22,2,3,172.72,1,Wankhede,17-May-22,2022
AK Markram,Sunrisers Hyderabad,Mumbai Indians,2,0,8,4,0,0,50,1,Wankhede,17-May-22,2022
KS Williamson,Sunrisers Hyderabad,Mumbai Indians,8,1,17,7,1,0,114.28,1,Wankhede,17-May-22,2022
Washington Sundar,Sunrisers Hyderabad,Mumbai Indians,9,0,15,7,0,0,128.57,1,Wankhede,17-May-22,2022
B Kumar,Sunrisers Hyderabad,Mumbai Indians,0,0,0,0,0,0,0,1,Wankhede,17-May-22,2022
Fazalhaq Farooqi,Sunrisers Hyderabad,Mumbai Indians,0,0,0,0,0,0,0,1,Wankhede,17-May-22,2022
Umran Malik,Sunrisers Hyderabad,Mumbai Indians,0,0,0,0,0,0,0,1,Wankhede,17-May-22,2022
T Natarajan,Sunrisers Hyderabad,Mumbai Indians,0,0,0,0,0,0,0,1,Wankhede,17-May-22,2022
RG Sharma,Mumbai Indians,Sunrisers Hyderabad,48,0,54,36,2,4,133.33,2,Wankhede,17-May-22,2022
Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,43,0,59,34,5,1,126.47,2,Wankhede,17-May-22,2022
DR Sams,Mumbai Indians,Sunrisers Hyderabad,15,0,26,11,0,1,136.36,2,Wankhede,17-May-22,2022
NT Tilak Varma,Mumbai Indians,Sunrisers Hyderabad,8,0,16,9,1,0,88.88,2,Wankhede,17-May-22,2022
TH David,Mumbai Indians,Sunrisers Hyderabad,46,0,24,18,3,4,255.55,2,Wankhede,17-May-22,2022
T Stubbs,Mumbai Indians,Sunrisers Hyderabad,2,0,9,2,0,0,100,2,Wankhede,17-May-22,2022
Ramandeep Singh,Mumbai Indians,Sunrisers Hyderabad,14,1,18,6,1,1,233.33,2,Wankhede,17-May-22,2022
R Sanjay Yadav,Mumbai Indians,Sunrisers Hyderabad,0,0,4,2,0,0,0,2,Wankhede,17-May-22,2022
JJ Bumrah,Mumbai Indians,Sunrisers Hyderabad,0,1,8,4,0,0,0,2,Wankhede,17-May-22,2022
M Markande,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Wankhede,17-May-22,2022
RP Meredith,Mumbai Indians,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Wankhede,17-May-22,2022
DA Warner,Delhi Capitals,Punjab Kings,0,0,2,1,0,0,0,1,DY Patil,16-May-22,2022
SN Khan,Delhi Capitals,Punjab Kings,32,0,24,16,5,1,200,1,DY Patil,16-May-22,2022
MR Marsh,Delhi Capitals,Punjab Kings,63,0,86,48,4,3,131.25,1,DY Patil,16-May-22,2022
Lalit Yadav,Delhi Capitals,Punjab Kings,24,0,31,21,1,1,114.28,1,DY Patil,16-May-22,2022
RR Pant,Delhi Capitals,Punjab Kings,7,0,7,3,0,1,233.33,1,DY Patil,16-May-22,2022
R Powell,Delhi Capitals,Punjab Kings,2,0,7,6,0,0,33.33,1,DY Patil,16-May-22,2022
AR Patel,Delhi Capitals,Punjab Kings,17,1,32,20,2,0,85,1,DY Patil,16-May-22,2022
SN Thakur,Delhi Capitals,Punjab Kings,3,0,8,4,0,0,75,1,DY Patil,16-May-22,2022
Kuldeep Yadav,Delhi Capitals,Punjab Kings,2,1,4,2,0,0,100,1,DY Patil,16-May-22,2022
KK Ahmed,Delhi Capitals,Punjab Kings,0,0,0,0,0,0,0,1,DY Patil,16-May-22,2022
